acid,eod_date,tran_date_bal,tran_date_tot_tran,value_date_bal,value_date_tot_tran,end_eod_date,lchg_user_id,lchg_time,rcre_user_id,rcre_time,ts_cnt,eab_crncy_code,bank_id,last_pstd_srl_num,last_tran_sequence_num,tran_count,updated_at,year,month,day
AC33310867,2024-02-29 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-29 00:00:00.0,FINADMIN,2024-03-01 00:44:09.0,FINADMIN,2024-03-01 00:44:09.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,29
AC24001721,2024-02-29 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-29 00:00:00.0,FINADMIN,2024-03-01 00:44:09.0,FINADMIN,2024-03-01 00:44:09.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,29
AC50843268,2024-03-01 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-03-01 00:00:00.0,FINADMIN,2024-03-01 23:13:48.0,FINADMIN,2024-03-01 23:13:48.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,3,1
AC54659545,2024-03-02 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-03-02 00:00:00.0,FINADMIN,2024-03-02 21:51:50.0,FINADMIN,2024-03-02 21:51:50.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,3,2
AC12045639,2024-03-02 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-03-02 00:00:00.0,FINADMIN,2024-03-02 21:51:51.0,FINADMIN,2024-03-02 21:51:51.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,3,2
AC28290907,2024-03-02 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-03-02 00:00:00.0,FINADMIN,2024-03-02 21:51:51.0,FINADMIN,2024-03-02 21:51:51.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,3,2
AC31765033,2024-03-02 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-03-02 00:00:00.0,FINADMIN,2024-03-02 21:51:51.0,FINADMIN,2024-03-02 21:51:51.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,3,2
AC81937980,2024-03-02 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-03-02 00:00:00.0,FINADMIN,2024-03-02 21:51:51.0,FINADMIN,2024-03-02 21:51:51.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,3,2
AC90620193,2024-03-02 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-03-02 00:00:00.0,FINADMIN,2024-03-02 21:51:51.0,FINADMIN,2024-03-02 21:51:51.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,3,2
AC96824645,2024-03-02 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-03-02 00:00:00.0,FINADMIN,2024-03-02 21:51:51.0,FINADMIN,2024-03-02 21:51:51.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,3,2
AC81554854,2024-03-06 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-03-06 00:00:00.0,FINADMIN,2024-03-07 00:17:37.0,FINADMIN,2024-03-07 00:17:37.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,3,6
AC54913603,2024-03-06 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-03-06 00:00:00.0,FINADMIN,2024-03-07 00:17:37.0,FINADMIN,2024-03-07 00:17:37.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,3,6
AC58839794,2024-03-06 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-03-06 00:00:00.0,FINADMIN,2024-03-07 00:17:38.0,FINADMIN,2024-03-07 00:17:38.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,3,6
AC96307268,2024-02-18 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-19 00:00:00.0,FINADMIN,2024-02-19 18:54:17.0,FINADMIN,2024-02-18 23:49:54.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,18
AC94015260,2024-02-18 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-19 00:00:00.0,FINADMIN,2024-02-19 18:54:17.0,FINADMIN,2024-02-18 23:49:54.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,18
AC69359522,2024-02-18 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-19 00:00:00.0,FINADMIN,2024-02-19 18:54:17.0,FINADMIN,2024-02-18 23:49:54.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,18
AC16282397,2024-02-18 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-19 00:00:00.0,FINADMIN,2024-02-19 18:54:17.0,FINADMIN,2024-02-18 23:49:54.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,18
