acid,ts_cnt,bank_id,del_flg,disb_ind,due_date,lchg_time,rcre_time,acct_status,delink_acid,health_code,notice_days,sticky_date,ecgc_dr_acid,ext_due_date,lchg_user_id,lm_link_stat,rcre_user_id,rpc_acct_flg,rt_sweep_flg,ecgc_appl_flg,entity_cre_flg,loss_carry_fwd,net_profit_rate,acct_status_date,prev_acct_status,last_aod_aos_date,last_lf_calc_date,lst_ecgc_cal_date,max_alwd_advn_lim,acct_crfile_ref_id,collection_officer,lf_chrg_pend_lines,total_project_cost,adj_for_closure_flg,acct_cls_reason_code,collect_excess_profit,internal_limit_upd_flg,unadj_profit_carry_fwd,wrk_capital_tenor_mths,adj_order_for_carry_fwd,next_dorm_chrg_calc_date,next_inact_chrg_calc_date,updated_at
AC91926827,3,1,N, ,,2021-08-18T22:43:00.000000,2020-08-16T17:38:46,A,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2021-08-16T00:00:00.000000, ,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC85124968,2,1,N, ,,2021-09-17T13:15:35,2021-09-12T17:43:39,A,,NORMA,0.0,,,,MM1102, ,FIVUSR, , ,N,Y, ,0.0,2021-09-12T00:00:00.000000, ,,,,2300000.0,176929,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC88861241,10,1,N, ,,2021-10-19T16:35:45,2008-08-27T15:35:06,D,,NORMA,0.0,,,,AK4760, ,LAXMIS, , ,N,Y, ,0.0,2020-09-27T00:00:00.000000, ,,,,0.0,CFOL/TRP/08/502,,0,0.0, ,, ,, ,0.0, ,2020-09-27T00:00:00.000000,,2024-08-07 06:42:03.096
AC96944665,4,1,N, ,,2021-11-24T11:50:48,2020-11-13T16:44:14,A,,NORMA,0.0,,,,PRAMILAS, ,MM2256, , ,N,Y, ,0.0,2020-11-13T00:00:00.000000, ,,,,2000000.0,119618/ 209727,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC47182175,2,1,N, ,,2021-12-14T23:53:24,2014-04-23T10:50:28,D,,NORMA,0.0,,,,FINADMIN, ,YC0599, , ,N,Y, ,0.0,2021-12-14T00:00:00.000000,A,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,2021-12-14T00:00:00.000000,,2024-08-07 06:42:03.096
AC25541251,3,1,N, ,,2022-01-08T00:54:18,2008-11-28T13:11:49,D,,NORMA,0.0,,,,FINADMIN, ,POONAMA, , ,N,Y, ,0.0,2022-01-07T00:00:00.000000,A,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,2022-01-07T00:00:00.000000,,2024-08-07 06:42:03.096
AC11784997,2,1,N, ,,2022-01-08T01:28:18,2019-02-07T10:55:13,D,,NORMA,0.0,,,,FINADMIN, ,RP2286, , ,N,Y, ,0.0,2022-01-07T00:00:00.000000,A,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,2022-01-07T00:00:00.000000,,2024-08-07 06:42:03.096
AC34888069,1,1,N, ,,2022-01-08T01:30:00.000000,2017-01-15T16:40:02,D,,NORMA,0.0,,,,FINADMIN, ,ABHITAVK, , ,N,Y, ,0.0,2022-01-07T00:00:00.000000,A,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,2022-01-07T00:00:00.000000,,2024-08-07 06:42:03.096
AC79901611,2,1,N, ,,2022-01-08T01:40:13,2019-02-06T19:23:28,D,,NORMA,0.0,,,,FINADMIN, ,UP2097, , ,N,Y, ,0.0,2022-01-07T00:00:00.000000,A,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,2022-01-07T00:00:00.000000,,2024-08-07 06:42:03.096
AC65698793,2,1,N, ,,2022-01-08T01:55:20,2019-02-07T10:47:11,D,,NORMA,0.0,,,,FINADMIN, ,UP2097, , ,N,Y, ,0.0,2022-01-07T00:00:00.000000,A,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,2022-01-07T00:00:00.000000,,2024-08-07 06:42:03.096
