acid,ts_cnt,adj_amt,bank_id,del_flg,srl_num,tran_id,adj_date,dmd_date,shdl_num,lchg_time,rcre_time,tran_date,dmd_flow_id,dmd_srl_num,lchg_user_id,rcre_user_id,oflow_adj_flg,waiver_record,waiver_srl_num,part_tran_srl_num,updated_at
AC43101700,0,103.55,1,N,1,S29663004,2024-08-16T00:00:00.000000,2024-08-16T00:00:00.000000,2,2024-08-16T20:50:12,2024-08-16T20:50:12,2024-08-16T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,8,2024-08-29 05:00:13.784
AC24610725,0,324.17,1,N,1,S29689293,2024-08-16T00:00:00.000000,2024-08-16T00:00:00.000000,2,2024-08-16T21:12:28,2024-08-16T21:12:28,2024-08-16T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,14,2024-08-29 05:00:13.784
AC34354924,0,117.74,1,N,1,S29695143,2024-08-16T00:00:00.000000,2024-08-16T00:00:00.000000,1,2024-08-16T21:17:52,2024-08-16T21:17:52,2024-08-16T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,26,2024-08-29 05:00:13.784
AC25296853,0,103269.07,1,N,1,S29699102,2024-08-16T00:00:00.000000,2024-08-16T00:00:00.000000,1,2024-08-16T21:22:16,2024-08-16T21:22:16,2024-08-16T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,60,2024-08-29 05:00:13.784
AC25296853,0,481.06,1,N,2,S30143124,2024-08-17T00:00:00.000000,2024-08-16T00:00:00.000000,1,2024-08-17T20:18:22,2024-08-17T20:18:22,2024-08-17T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,2,2024-08-29 05:00:13.784
AC39239172,0,9659.46,1,N,4,S30515464,2024-08-18T00:00:00.000000,2024-07-01T00:00:00.000000,3,2024-08-18T15:37:08,2024-08-18T15:37:08,2024-08-18T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,2,2024-08-29 05:00:13.784
AC39239172,0,5540.54,1,N,1,S30515551,2024-08-18T00:00:00.000000,2024-07-01T00:00:00.000000,3,2024-08-18T15:37:16,2024-08-18T15:37:16,2024-08-18T00:00:00.000000,PRDEM,1,SYSTEM,SYSTEM, , ,,2,2024-08-29 05:00:13.784
AC24610725,0,43862.13,1,N,2,S30814418,2024-08-18T00:00:00.000000,2024-08-16T00:00:00.000000,2,2024-08-18T21:42:26,2024-08-18T21:42:26,2024-08-18T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,8,2024-08-29 05:00:13.784
AC99376172,0,4372.88,1,N,3,S31662906,2024-08-20T00:00:00.000000,2024-07-01T00:00:00.000000,3,2024-08-20T17:55:20,2024-08-20T17:55:20,2024-08-20T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,2,2024-08-29 05:00:13.784
AC99376172,0,10590.44,1,N,1,S31662990,2024-08-20T00:00:00.000000,2024-07-01T00:00:00.000000,3,2024-08-20T17:55:28,2024-08-20T17:55:28,2024-08-20T00:00:00.000000,PRDEM,1,SYSTEM,SYSTEM, , ,,2,2024-08-29 05:00:13.784
AC61584878,0,1.36,1,N,1,S31663073,2024-08-20T00:00:00.000000,2024-07-24T00:00:00.000000,1,2024-08-20T17:55:36,2024-08-20T17:55:36,2024-08-20T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,2,2024-08-29 05:00:13.784
AC61584878,0,4059.75,1,N,1,S31663147,2024-08-20T00:00:00.000000,2024-07-24T00:00:00.000000,1,2024-08-20T17:55:44,2024-08-20T17:55:44,2024-08-20T00:00:00.000000,PRDEM,1,SYSTEM,SYSTEM, , ,,2,2024-08-29 05:00:13.784
AC99376172,0,975.57,1,N,1,S31764926,2024-08-20T00:00:00.000000,2024-08-01T00:00:00.000000,3,2024-08-20T20:39:46,2024-08-20T20:39:46,2024-08-20T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,4,2024-08-29 05:00:13.784
AC45209543,0,13323.98,1,N,2,S31781428,2024-08-20T00:00:00.000000,2024-08-01T00:00:00.000000,4,2024-08-20T20:47:11,2024-08-20T20:47:11,2024-08-20T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,2,2024-08-29 05:00:13.784
AC39284614,0,10045.41,1,N,1,S31781428,2024-08-20T00:00:00.000000,2024-08-01T00:00:00.000000,1,2024-08-20T20:47:11,2024-08-20T20:47:11,2024-08-20T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,6,2024-08-29 05:00:13.784
AC39284614,0,2685.36,1,N,1,S31781597,2024-08-20T00:00:00.000000,2024-08-01T00:00:00.000000,1,2024-08-20T20:47:17,2024-08-20T20:47:17,2024-08-20T00:00:00.000000,PRDEM,1,SYSTEM,SYSTEM, , ,,6,2024-08-29 05:00:13.784
AC45209543,0,11447.77,1,N,1,S31781597,2024-08-20T00:00:00.000000,2024-08-01T00:00:00.000000,4,2024-08-20T20:47:17,2024-08-20T20:47:17,2024-08-20T00:00:00.000000,PRDEM,1,SYSTEM,SYSTEM, , ,,2,2024-08-29 05:00:13.784
AC39239172,0,3895.45,1,N,2,S32017398,2024-08-21T00:00:00.000000,2024-07-01T00:00:00.000000,3,2024-08-21T12:55:59,2024-08-21T12:55:59,2024-08-21T00:00:00.000000,PRDEM,1,SYSTEM,SYSTEM, , ,,2,2024-08-29 05:00:13.784
AC39239172,0,104.55,1,N,1,S32287791,2024-08-21T00:00:00.000000,2024-08-01T00:00:00.000000,3,2024-08-21T20:10:27,2024-08-21T20:10:27,2024-08-21T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,10,2024-08-29 05:00:13.784
AC43101700,0,14000.0,1,N,2,S32922164,2024-08-22T00:00:00.000000,2024-08-16T00:00:00.000000,2,2024-08-22T21:16:01,2024-08-22T21:16:01,2024-08-22T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,6,2024-08-29 05:00:13.784
AC23716242,0,17372.27,1,N,1,S31225678,2018-07-16T00:00:00.000000,2018-07-16T00:00:00.000000,1,2018-07-17T01:28:49,2018-07-17T01:28:49,2018-07-16T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM,,,,62,2024-08-07 06:50:53.621
AC23716242,0,97384.96,1,N,1,S34698761,2018-10-02T00:00:00.000000,2018-10-02T00:00:00.000000,1,2018-10-02T22:23:17,2018-10-02T22:23:17,2018-10-02T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM,,,,32,2024-08-07 06:50:53.621
AC23716242,0,3484000.0,1,N,1,S34698803,2018-10-02T00:00:00.000000,2018-10-02T00:00:00.000000,1,2018-10-02T22:24:14,2018-10-02T22:24:14,2018-10-02T00:00:00.000000,PRDEM,1,SYSTEM,SYSTEM,,,,26,2024-08-07 06:50:53.621
AC25111100,1,792465.75,1,Y,1,  DC28994,2021-01-13T00:00:00.000000,2021-01-13T00:00:00.000000,1,2021-02-18T23:17:33,2021-01-13T13:50:57,2021-01-13T00:00:00.000000,INDEM,1,FINADMIN,PRAMILAS, , ,,3,2024-08-07 06:50:53.621
AC25111100,1,792465.75,1,Y,2,  DC28994,2021-01-13T00:00:00.000000,2021-01-13T00:00:00.000000,1,2021-02-18T23:17:42,2021-02-18T23:17:33,2021-01-13T00:00:00.000000,INDEM,1,FINADMIN,FINADMIN, , ,,3,2024-08-07 06:50:53.621
AC25111100,4,1238739.73,1,N,1,S96870716,2020-07-15T00:00:00.000000,2020-07-15T00:00:00.000000,1,2021-02-19T17:07:54,2020-07-16T08:52:33,2020-07-15T00:00:00.000000,INDEM,1,SN1138,SYSTEM, , ,,76,2024-08-07 06:50:53.621
AC25111100,0,50000000.0,1,N,1,S37415445,2021-02-19T00:00:00.000000,2021-02-18T00:00:00.000000,1,2021-02-19T17:07:54,2021-02-19T17:07:54,2021-02-19T00:00:00.000000,PRDEM,1,SYSTEM,SYSTEM, , ,,2,2024-08-07 06:50:53.621
AC25111100,0,792465.75,1,N,4,  DC28994,2021-01-13T00:00:00.000000,2021-01-13T00:00:00.000000,1,2021-02-19T17:07:54,2021-02-19T17:07:54,2021-01-13T00:00:00.000000,INDEM,1,SN1138,SN1138, , ,,3,2024-08-07 06:50:53.621
AC25111100,0,0.01,1,N,1,  DC28994,2021-02-18T00:00:00.000000,2021-02-18T00:00:00.000000,1,2021-02-19T17:07:54,2021-02-19T17:07:54,2021-01-13T00:00:00.000000,INDEM,1,SN1138,SN1138, , ,,2,2024-08-07 06:50:53.621
AC25111100,4,970164.38,1,N,1,  DC24211,2020-10-16T00:00:00.000000,2020-10-16T00:00:00.000000,1,2021-02-19T17:07:54,2020-10-16T13:43:56,2020-10-16T00:00:00.000000,INDEM,1,SN1138,PRAKASHS, , ,,2,2024-08-07 06:50:53.621
AC25111100,1,792465.75,1,Y,3,  DC28994,2021-01-13T00:00:00.000000,2021-01-13T00:00:00.000000,1,2021-02-19T17:07:54,2021-02-18T23:17:42,2021-01-13T00:00:00.000000,INDEM,1,SN1138,FINADMIN, , ,,3,2024-08-07 06:50:53.621
AC25111100,4,606191.78,1,N,1,S82846687,2020-04-12T00:00:00.000000,2020-04-12T00:00:00.000000,1,2021-02-19T17:07:54,2020-04-12T16:11:05,2020-04-12T00:00:00.000000,INDEM,1,SN1138,SYSTEM, , ,,2,2024-08-07 06:50:53.621
AC25111100,0,311643.83,1,N,2,S37416256,2021-02-19T00:00:00.000000,2021-02-18T00:00:00.000000,1,2021-02-19T17:11:53,2021-02-19T17:11:53,2021-02-19T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,2,2024-08-07 06:50:53.621
AC25111100,0,8904.11,1,N,1,S37416917,2021-02-19T00:00:00.000000,2021-02-19T00:00:00.000000,1,2021-02-19T17:14:54,2021-02-19T17:14:54,2021-02-19T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,2,2024-08-07 06:50:53.621
AC89764545,0,0.51,1,N,1,S58147626,2022-05-02T00:00:00.000000,2022-04-23T00:00:00.000000,1,2022-05-03T00:47:32,2022-05-03T00:47:32,2022-05-02T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,2,2024-08-07 06:50:53.621
AC89764545,0,1210.76,1,N,1,S58147645,2022-05-02T00:00:00.000000,2022-04-23T00:00:00.000000,1,2022-05-03T00:47:34,2022-05-03T00:47:34,2022-05-02T00:00:00.000000,PRDEM,1,SYSTEM,SYSTEM, , ,,2,2024-08-07 06:50:53.621
AC89764545,0,4.6,1,N,1,S83188366,2022-07-16T00:00:00.000000,2022-07-16T00:00:00.000000,1,2022-07-17T03:49:26,2022-07-17T03:49:26,2022-07-16T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,6,2024-08-07 06:50:53.621
AC66893611,0,58.23,1,N,1, S5392060,2022-09-16T00:00:00.000000,2022-09-16T00:00:00.000000,1,2022-09-17T02:25:26,2022-09-17T02:25:26,2022-09-16T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,6,2024-08-07 06:50:53.621
AC66893611,0,12311.63,1,N,2, S6452997,2022-09-19T00:00:00.000000,2022-09-16T00:00:00.000000,1,2022-09-19T20:22:09,2022-09-19T20:22:09,2022-09-19T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,4,2024-08-07 06:50:53.621
AC16247180,0,0.61,1,N,1, S7742035,2022-09-22T00:00:00.000000,2022-09-19T00:00:00.000000,1,2022-09-23T01:08:50,2022-09-23T01:08:50,2022-09-22T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,4,2024-08-07 06:50:53.621
AC16247180,0,1382.56,1,N,1, S7742081,2022-09-22T00:00:00.000000,2022-09-19T00:00:00.000000,1,2022-09-23T01:08:53,2022-09-23T01:08:53,2022-09-22T00:00:00.000000,PRDEM,1,SYSTEM,SYSTEM, , ,,4,2024-08-07 06:50:53.621
AC79246018,0,8544.94,1,N,1,S14489055,2022-10-11T00:00:00.000000,2022-09-13T00:00:00.000000,1,2022-10-11T14:31:43,2022-10-11T14:31:43,2022-10-11T00:00:00.000000,PRDEM,1,SYSTEM,SYSTEM, , ,,2,2024-08-07 06:50:53.621
AC79246018,0,3.76,1,N,1,S14489130,2022-10-11T00:00:00.000000,2022-09-13T00:00:00.000000,1,2022-10-11T14:31:51,2022-10-11T14:31:51,2022-10-11T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,2,2024-08-07 06:50:53.621
AC79246018,0,105.14,1,N,1,S17032652,2022-10-17T00:00:00.000000,2022-10-17T00:00:00.000000,1,2022-10-18T12:26:59,2022-10-18T12:26:59,2022-10-17T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,30,2024-08-07 06:50:53.621
AC66893611,0,15338.63,1,N,1,S17059279,2022-10-17T00:00:00.000000,2022-10-17T00:00:00.000000,1,2022-10-18T13:07:17,2022-10-18T13:07:17,2022-10-17T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,30,2024-08-07 06:50:53.621
AC37872032,0,34859.84,1,N,1,S17099258,2022-10-17T00:00:00.000000,2022-10-17T00:00:00.000000,1,2022-10-18T14:07:18,2022-10-18T14:07:18,2022-10-17T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,36,2024-08-07 06:50:53.621
AC16247180,0,1.82,1,N,1,S17318606,2022-10-18T00:00:00.000000,2022-10-17T00:00:00.000000,1,2022-10-18T23:36:09,2022-10-18T23:36:09,2022-10-18T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,4,2024-08-07 06:50:53.621
AC45914738,0,6201.37,1,N,1,S22092382,2022-11-01T00:00:00.000000,2022-11-01T00:00:00.000000,3,2022-11-01T22:35:40,2022-11-01T22:35:40,2022-11-01T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,20,2024-08-07 06:50:53.621
AC45914738,0,10506.07,1,N,1,S22092996,2022-11-01T00:00:00.000000,2022-11-01T00:00:00.000000,3,2022-11-01T22:36:18,2022-11-01T22:36:18,2022-11-01T00:00:00.000000,PRDEM,1,SYSTEM,SYSTEM, , ,,12,2024-08-07 06:50:53.621
AC55006188,0,13795.35,1,N,1,S26123689,2022-11-12T00:00:00.000000,2022-11-12T00:00:00.000000,2,2022-11-12T17:46:34,2022-11-12T17:46:34,2022-11-12T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,44,2024-08-07 06:50:53.621
AC55006188,0,14843.04,1,N,1,S26124090,2022-11-12T00:00:00.000000,2022-11-12T00:00:00.000000,2,2022-11-12T17:46:52,2022-11-12T17:46:52,2022-11-12T00:00:00.000000,PRDEM,1,SYSTEM,SYSTEM, , ,,34,2024-08-07 06:50:53.621
AC37872032,0,59258.63,1,N,1,S27810143,2022-11-16T00:00:00.000000,2022-11-16T00:00:00.000000,1,2022-11-16T23:46:48,2022-11-16T23:46:48,2022-11-16T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,16,2024-08-07 06:50:53.621
AC66893611,0,48.4,1,N,1,S27911081,2022-11-16T00:00:00.000000,2022-11-16T00:00:00.000000,1,2022-11-17T03:38:19,2022-11-17T03:38:19,2022-11-16T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,16,2024-08-07 06:50:53.621
AC66893611,0,15165.3,1,N,2,S31326121,2022-11-25T00:00:00.000000,2022-11-16T00:00:00.000000,1,2022-11-26T00:49:18,2022-11-26T00:49:18,2022-11-25T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,10,2024-08-07 06:50:53.621
AC66893611,0,2535.62,1,N,1,S31326121,2022-11-25T00:00:00.000000,2022-11-22T00:00:00.000000,1,2022-11-26T00:49:18,2022-11-26T00:49:18,2022-11-25T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,10,2024-08-07 06:50:53.621
AC66893611,0,5099.08,1,N,1,S31326166,2022-11-25T00:00:00.000000,2022-11-22T00:00:00.000000,1,2022-11-26T00:49:22,2022-11-26T00:49:22,2022-11-25T00:00:00.000000,PRDEM,1,SYSTEM,SYSTEM, , ,,6,2024-08-07 06:50:53.621
AC66893611,0,1494900.92,1,N,2,S32988212,2022-11-30T00:00:00.000000,2022-11-22T00:00:00.000000,1,2022-11-30T12:25:30,2022-11-30T12:25:30,2022-11-30T00:00:00.000000,PRDEM,1,SYSTEM,SYSTEM, , ,,2,2024-08-07 06:50:53.621
AC66893611,0,2268.23,1,N,1,S32988571,2022-11-30T00:00:00.000000,2022-11-30T00:00:00.000000,1,2022-11-30T12:26:20,2022-11-30T12:26:20,2022-11-30T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,2,2024-08-07 06:50:53.621
AC45914738,0,6072.96,1,N,1,S33645663,2022-12-01T00:00:00.000000,2022-12-01T00:00:00.000000,3,2022-12-02T01:42:52,2022-12-02T01:42:52,2022-12-01T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,20,2024-08-07 06:50:53.621
AC45914738,0,10634.48,1,N,1,S33646838,2022-12-01T00:00:00.000000,2022-12-01T00:00:00.000000,3,2022-12-02T01:43:37,2022-12-02T01:43:37,2022-12-01T00:00:00.000000,PRDEM,1,SYSTEM,SYSTEM, , ,,12,2024-08-07 06:50:53.621
AC66893611,0,1780.13,1,N,2,S36107924,2022-12-07T00:00:00.000000,2022-11-30T00:00:00.000000,1,2022-12-08T02:34:11,2022-12-08T02:34:11,2022-12-07T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,14,2024-08-07 06:50:53.621
AC55006188,0,629.16,1,N,1,S38005648,2022-12-12T00:00:00.000000,2022-12-12T00:00:00.000000,2,2022-12-13T00:57:20,2022-12-13T00:57:20,2022-12-12T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,54,2024-08-07 06:50:53.621
AC37872032,0,57283.34,1,N,1,S39291123,2022-12-15T00:00:00.000000,2022-12-15T00:00:00.000000,1,2022-12-16T02:01:30,2022-12-16T02:01:30,2022-12-15T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,16,2024-08-07 06:50:53.621
AC44054040,0,219.87,1,N,1,S39374306,2022-12-15T00:00:00.000000,2022-12-15T00:00:00.000000,1,2022-12-16T04:31:00.000000,2022-12-16T04:31:00.000000,2022-12-15T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,24,2024-08-07 06:50:53.621
AC32531851,0,1.7,1,N,1,S40453134,2022-12-18T00:00:00.000000,2022-11-19T00:00:00.000000,1,2022-12-18T19:21:05,2022-12-18T19:21:05,2022-12-18T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,2,2024-08-07 06:50:53.621
AC32531851,0,3328.2,1,N,1,S40453188,2022-12-18T00:00:00.000000,2022-11-19T00:00:00.000000,1,2022-12-18T19:21:12,2022-12-18T19:21:12,2022-12-18T00:00:00.000000,PRDEM,1,SYSTEM,SYSTEM, , ,,2,2024-08-07 06:50:53.621
AC55006188,0,12666.63,1,N,2,S41877554,2022-12-21T00:00:00.000000,2022-12-12T00:00:00.000000,2,2022-12-21T23:25:54,2022-12-21T23:25:54,2022-12-21T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,14,2024-08-07 06:50:53.621
