mer_code,mer_ense,mer_iden,mer_loca,mer_token,mer_ammf_ide,mer_ban_code,mer_bra_code,mer_cit_code,mer_com_code,mer_mag_code,mer_map_code,mer_mca_code,mer_mer_code,mer_mgr_code,mer_mpr_code,mer_per_code,mer_pmg_code,mer_pmo_code,mer_pro_code,mer_slb_code,mer_visa_mvv,mer_acti_code,mer_amex_iden,mer_capi_amou,mer_chba_moun,mer_chba_year,mer_cheq_name,mer_cnss_numb,mer_comm_moun,mer_comm_year,mer_comp_type,mer_cont_numb,mer_corp_name,mer_crea_date,mer_fees_moun,mer_fees_year,mer_gene_stat,mer_grou_acco,mer_impr_numb,mer_lice_numb,mer_migs_flag,mer_pare_flag,mer_pour_moun,mer_pour_year,mer_pseu_iden,mer_requ_moun,mer_requ_year,mer_sign_date,mer_sire_numb,mer_spli_flag,mer_stat_code,mer_stat_date,mer_stat_freq,mer_stat_supp,mer_term_numb,mer_turn_moun,mer_turn_year,mer_upda_date,mer_chba_moun_g,mer_chba_year_2,mer_chba_year_3,mer_chba_year_g,mer_comm_moun_g,mer_comm_year_2,mer_comm_year_3,mer_comm_year_g,mer_fees_moun_g,mer_fees_year_2,mer_fees_year_3,mer_fees_year_g,mer_pour_moun_g,mer_pour_year_2,mer_pour_year_3,mer_pour_year_g,mer_requ_moun_g,mer_requ_year_2,mer_requ_year_3,mer_requ_year_g,mer_turn_moun_g,mer_turn_year_2,mer_turn_year_3,mer_turn_year_g,mer_acqu_inst_id,mer_card_acce_id,mer_card_acce_id2,mer_chba_year_2_g,mer_chba_year_3_g,mer_comm_year_2_g,mer_comm_year_3_g,mer_cur_code_refe,mer_defa_acc_code,mer_fees_year_2_g,mer_fees_year_3_g,mer_merchant_card,mer_pour_year_2_g,mer_pour_year_3_g,mer_requ_year_2_g,mer_requ_year_3_g,mer_stat_per_code,mer_turn_year_2_g,mer_turn_year_3_g,mer_chba_last_year,mer_comm_effe_date,mer_comm_last_year,mer_comm_regi_numb,mer_fees_last_year,mer_fisc_iden_numb,mer_last_paym_date,mer_last_stat_date,mer_pour_last_year,mer_requ_last_year,mer_turn_last_year,mer_chba_last_year_g,mer_comm_last_year_g,mer_fees_last_year_g,mer_pour_last_year_g,mer_requ_last_year_g,mer_turn_last_year_g,mer_grou_indi_f060_05,updated_at
2420941,HOME MADE SPICE AND TEA SHOP,100754115246917,"CHHETRAPARI, KATHMANDU",,,1,5367.0,68821.0,2010201,,402241.0,1,,7641.0,65241.0,2.0,1201.0,3,,,,15.0,,,,,,,,,3,,HOME MADE SPICE AND TEA SHOP,2023-04-08T14:46:47,,,,Y,,,N,,,,,,,2023-04-08T00:00:00.000000,,,1,2023-04-08T14:46:47,P,M,1.0,,,2023-04-08T14:46:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2407573,,,,,,,,2.0,,,,2023-04-08T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
2420961,WHITE TIGER HOLIDAYS PRIVATE LIMITED,100747225246918,"SORHAKHUTTE, KATHMANDU",,,1,5455.0,68821.0,2010201,,402261.0,1,,7641.0,65241.0,2.0,1201.0,3,,,,1.0,,,,,,,,,3,,WHITE TIGER HOLIDAYS PRIVATE LIMITED,2023-04-08T14:46:47,,,,Y,,,N,,,,,,,2023-04-08T00:00:00.000000,,,1,2023-04-08T14:46:47,P,M,1.0,,,2023-04-08T14:46:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2407574,,,,,,,,2.0,,,,2023-04-08T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
2420981,NEW TAYAMA SEKUWA CORNER,100758145246919,"TUTEPANI, LALITPUR",,,1,5367.0,69161.0,2012501,,402281.0,1,,7641.0,65241.0,2.0,1201.0,3,,,,72.0,,,,,,,,,3,,NEW TAYAMA SEKUWA CORNER,2023-04-08T14:46:48,,,,Y,,,N,,,,,,,2023-04-08T00:00:00.000000,,,1,2023-04-08T14:46:48,P,M,1.0,,,2023-04-08T14:46:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2407575,,,,,,,,2.0,,,,2023-04-08T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
2421001,ARTIST DESHAR COMPUTER HARDWARE,100757325246920,"TUSAL,LALITPUR",,,1,5207.0,69161.0,2012501,,402301.0,1,,7641.0,65241.0,2.0,1201.0,3,,,,112.0,,,,,,,,,3,,ARTIST DESHAR COMPUTER HARDWARE,2023-04-08T14:46:48,,,,Y,,,N,,,,,,,2023-04-08T00:00:00.000000,,,1,2023-04-08T14:46:48,P,M,1.0,,,2023-04-08T14:46:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2407576,,,,,,,,2.0,,,,2023-04-08T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
2421021,THE DRAGONS FARM,100758125246921,"TOKHA, KATHMANDU",,,1,5480.0,68821.0,2049301,,402321.0,1,,7641.0,65241.0,2.0,1201.0,3,,,,10.0,,,,,,,,,3,,THE DRAGONS FARM,2023-04-08T14:46:49,,,,Y,,,N,,,,,,,2023-04-08T00:00:00.000000,,,1,2023-04-08T14:46:49,P,M,1.0,,,2023-04-08T14:46:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2407577,,,,,,,,2.0,,,,2023-04-08T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
2421041,PARIDHI MOBILE SHOP,100752715246922,"ZEROMILE, MAHOTTARI",,,1,5262.0,67381.0,2009581,,402341.0,1,,7641.0,65241.0,2.0,1201.0,3,,,,1013340.0,,,,,,,,,3,,PARIDHI MOBILE SHOP,2023-04-08T14:46:49,,,,Y,,,N,,,,,,,2023-04-08T00:00:00.000000,,,1,2023-04-08T14:46:49,P,M,1.0,,,2023-04-08T14:46:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2407578,,,,,,,,2.0,,,,2023-04-08T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
2421061,SHOVA BHAGWATI ENTERPRISES,100753115246923,"CHAMATI, KATHMANDU",,,1,5153.0,68821.0,2009401,,402361.0,1,,7641.0,65241.0,2.0,1201.0,3,,,,73.0,,,,,,,,,3,,SHOVA BHAGWATI ENTERPRISES,2023-04-08T14:46:50,,,,Y,,,N,,,,,,,2023-04-08T00:00:00.000000,,,1,2023-04-08T14:46:50,P,M,1.0,,,2023-04-08T14:46:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2407579,,,,,,,,2.0,,,,2023-04-08T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
2421081,SABAIKO E. HEALTH PRIVATE LIMITED,100780995246924,"KALIMATI, KATHMANDU",,,1,5136.0,68821.0,2010281,,402381.0,1,,7641.0,65241.0,2.0,1201.0,3,,,,111.0,,,,,,,,,3,,SABAIKO E. HEALTH PRIVATE LIMITED,2023-04-08T14:46:51,,,,Y,,,N,,,,,,,2023-04-08T00:00:00.000000,,,1,2023-04-08T14:46:51,P,M,1.0,,,2023-04-08T14:46:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2407580,,,,,,,,2.0,,,,2023-04-08T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
2421101,KATHMANDU AIRPORT VIEW HOTE,100770115246868,"KADAGHARI, KATHMANDU",,,1,5303.0,68821.0,2008601,,400721.0,1,,,65241.0,2.0,1201.0,3,,,,5.0,,,,,,,,,3,,KATHMANDU AIRPORT VIEW HOTE,2023-04-08T14:46:51,,,,Y,,,N,,,,,,,2023-04-08T00:00:00.000000,,,1,2023-04-08T14:46:51,P,M,1.0,,,2023-04-08T14:46:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2407581,,,,,,,,2.0,,,,2023-04-08T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
2421121,SMRITI TRADE ENTERPRISES,100753995246869,"LUBHU, LALITPUR",,,1,5306.0,69161.0,2136921,,400741.0,1,,7641.0,65241.0,2.0,1201.0,3,,,,1013380.0,,,,,,,,,3,,SMRITI TRADE ENTERPRISES,2023-04-08T14:46:52,,,,Y,,,N,,,,,,,2023-04-08T00:00:00.000000,,,1,2023-04-08T14:46:52,P,M,1.0,,,2023-04-08T14:46:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2407582,,,,,,,,2.0,,,,2023-04-08T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
2421141,RAGHU PRIYA TRADING PVT.LTD,100752515246870,"SATDOBATO,LALITPUR",,,1,5378.0,69161.0,2118321,,400761.0,1,,7641.0,65241.0,2.0,1201.0,3,,,,143.0,,,,,,,,,3,,RAGHU PRIYA TRADING PVT.LTD,2023-04-08T14:46:52,,,,Y,,,N,,,,,,,2023-04-08T00:00:00.000000,,,1,2023-04-08T14:46:52,P,M,1.0,,,2023-04-08T14:46:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2407583,,,,,,,,2.0,,,,2023-04-08T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
2421161,BAHURANI EMPORIUM,100772965246871,"HAAT KHOLA, BIRATNAGAR",,,1,5275.0,66401.0,2008681,,400781.0,1,,7641.0,65241.0,2.0,1201.0,3,,,,1014140.0,,,,,,,,,3,,BAHURANI EMPORIUM,2023-04-08T14:46:53,,,,Y,,,N,,,,,,,2023-04-08T00:00:00.000000,,,1,2023-04-08T14:46:53,P,M,1.0,,,2023-04-08T14:46:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2407584,,,,,,,,2.0,,,,2023-04-08T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
