cur_ide,cur_code,cur_labe,cur_symb,cur_alph_code,cur_defa_numb_deci,updated_at
554,155,New Zealand DollarS,,NZD,,2024-08-07 07:04:29.105
558,156,Cordoba Oro,,NIO,,2024-08-07 07:04:29.105
566,157,Nigeria Naira,,NGN,,2024-08-07 07:04:29.105
578,158,Norwegian KroneS,,NOK,,2024-08-07 07:04:29.105
586,159,Pakistan Rupee,,PKR,,2024-08-07 07:04:29.105
590,160,Panama Balboa,,PAB,,2024-08-07 07:04:29.105
598,161,Guinea Kina,,PGK,,2024-08-07 07:04:29.105
600,162,Paraguay Guarani,,PYG,,2024-08-07 07:04:29.105
604,163,Peru Nuevo Sol,,PEN,,2024-08-07 07:04:29.105
608,164,Philippine Peso,,PHP,,2024-08-07 07:04:29.105
620,165,Portuguese EscudoS,,PTE,,2024-08-07 07:04:29.105
624,166,Guinea-Bissau Peso,,GWP,,2024-08-07 07:04:29.105
626,167,Timor Escudo,,TPE,,2024-08-07 07:04:29.105
634,168,Qatari Rial,,QAR,,2024-08-07 07:04:29.105
642,169,Romania Leu,,ROL,,2024-08-07 07:04:29.105
643,170,Russian Ruble,,RUB,,2024-08-07 07:04:29.105
646,171,Rwanda Franc,,RWF,,2024-08-07 07:04:29.105
654,172,St. Helena Pound,,SHP,,2024-08-07 07:04:29.105
678,173,Sao Tome and Principe Dobra,,STD,,2024-08-07 07:04:29.105
682,174,Saudi Riyal,,SAR,,2024-08-07 07:04:29.105
690,175,Seychelles Rupee,,SCR,,2024-08-07 07:04:29.105
694,176,Sierra Leone Leone,,SLL,,2024-08-07 07:04:29.105
702,177,Singapore DollarS,,SGD,,2024-08-07 07:04:29.105
703,178,Slovak Koruna,,SKK,,2024-08-07 07:04:29.105
410,179,"Republic of Korea,Won",,KRW,,2024-08-07 07:04:29.105
076,180,XXXXXXXXXXXX,,,,2024-08-07 07:04:29.105
100,181,XXXXXXXXXXXX,,,,2024-08-07 07:04:29.105
112,182,XXXXXXXXXXXX,,,,2024-08-07 07:04:29.105
180,183,XXXXXXXXXXXX,,,,2024-08-07 07:04:29.105
218,184,XXXXXXXXXXXX,,,,2024-08-07 07:04:29.105
226,185,XXXXXXXXXXXX,,,,2024-08-07 07:04:29.105
268,186,XXXXXXXXXXXX,,,,2024-08-07 07:04:29.105
804,187,XXXXXXXXXXXX,,,,2024-08-07 07:04:29.105
890,188,XXXXXXXXXXXX,,,,2024-08-07 07:04:29.105
972,189,XXXXXXXXXXXX,,,,2024-08-07 07:04:29.105
973,190,XXXXXXXXXXXX,,,,2024-08-07 07:04:29.105
949,191,new lira,,YTL,,2024-08-07 07:04:29.105
944,401,currency 944,,XCV,,2024-08-07 07:04:29.105
111,821,TEST,,TES,,2024-08-07 07:04:29.105
934,934,Turkmenistan Manat,,TMT,,2024-08-07 07:04:29.105
946,946,LEI ROMANIAN,,LEI,,2024-08-07 07:04:29.105
ttt,1201,test,ttt,ttt,,2024-08-07 07:04:29.105
tt1,2001,test slo,tt1,tt1,,2024-08-07 07:04:29.105
